example,changed,quality of life,capacity and resources,political,security and defense,policy prescription and evaluation,fairness and equality,other,health and safety,"legality, constitutionality and jurisprudence",morality,economic,public opinion,cultural identity,external regulation and reputation,crime and punishment
../human_annotation/images/89e378c2-efce-4100-8ce0-736f326280e8.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/fad43a4b-3d15-4e5c-9329-4508b0c14f2c.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
../human_annotation/images/2974942b-7f5c-47be-9c99-4c89d5b6129e.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/5822cce1-70ab-48c7-93f9-ab1ad0e98870.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
../human_annotation/images/c4c6f344-563b-4432-92bd-54d1bb72e748.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
../human_annotation/images/f6957070-3516-4142-b7ad-d4977343c6e4.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
../human_annotation/images/35d6c0b0-823a-4148-8072-bb58bfc965a4.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
../human_annotation/images/af041f1a-9592-4ad1-9905-05631601cbd8.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/e4de58d6-9f84-4b16-8b62-10ccc74b02ad.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
../human_annotation/images/a06f3f75-721a-4384-8ec2-868866eee4a8.jpg,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/cd1f38ac-bf78-4d70-b2ef-57b966a0a1bc.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/16961a96-5e29-4245-bc49-aaca6c2e172d.jpg,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/0b7d3703-2bc5-476a-950e-6aceb184d905.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
../human_annotation/images/d8e0358e-1ad6-480e-a155-6e97f5ad0549.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
../human_annotation/images/d37bd8ee-b567-4557-8228-53aa3ae4d374.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/5938ffba-ec74-47af-8ea3-8d062ff245a1.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/be93f05c-bb49-4fda-ac31-58d99c63f025.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/90dd0dc1-2581-4a39-a027-4c8ec95ac505.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
../human_annotation/images/a4791cd2-07fe-4520-90f9-cb3d91df058e.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
../human_annotation/images/88d3b322-7b00-4aba-a8bc-f5b97e355122.jpg,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
../human_annotation/images/e4600973-9682-45ff-a2e2-f761456f163b.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
../human_annotation/images/b6b72563-0cdc-4bb1-a04c-6f4766dd89e5.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
../human_annotation/images/d84ef2dc-e93b-4074-b38b-316991ac7bd1.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
../human_annotation/images/aab9cbd9-7c14-4877-a20c-f986beadd2ab.jpg,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
../human_annotation/images/92a49fe4-65dc-47d2-9e24-4284e07b40a0.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
../human_annotation/images/a3fc5eab-14ec-4918-8738-b4395f2d22a6.jpg,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
../human_annotation/images/8d79696d-47b3-4309-be62-fa52910fc17e.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
../human_annotation/images/078141aa-ed63-4c85-a8a9-417b004e4381.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
../human_annotation/images/b36af344-ca77-468d-8d1c-2eb6c1c9f880.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
../human_annotation/images/b7432fca-801e-41c8-9741-24a39e469d3a.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/2e4acf7a-1b71-4e23-9390-f1451aa3437d.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/b17e6119-f679-4c01-b615-4b18b29e8525.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/8cf2ed86-d1d6-40ea-b5de-4c83c71bfb34.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
../human_annotation/images/d6933bb2-3105-412d-89b6-d362af23178b.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
../human_annotation/images/72e8990b-2611-4558-ad7f-602058384aab.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/6daeb461-a6e3-4951-b4a9-300e55d6df2c.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/cf2891c2-8181-49d7-86b5-80f4cef0b87a.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/f55eea4a-8826-4c81-a927-3335b7bdfd64.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/105a9574-eb3f-4219-a7a3-10aa432959bf.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/587dd7c7-d473-4a74-a5e6-902aed963b21.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/1d8565af-d6aa-47bc-9e73-988b639f3174.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/b1fd431c-9bfc-48ef-a6d5-e76f65bb5adc.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/75761c8b-1ca7-486b-95b3-b087489464b1.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/83cbacec-b92f-41d5-acd7-251faa809d97.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/ee85c5b7-24c0-4186-8eee-2751efcead39.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/858594ed-ab98-4e27-9fa7-2064439a6187.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/7e8ba465-4042-4bbd-9cfe-6870fbd4b838.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/30d071c8-b77a-4617-80c4-41c10d87cdd1.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/ef541ea8-cd47-47ca-9419-e299a8270b74.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/348301ef-b341-40e5-88e9-7b83a03d2f56.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/73616b51-0fe5-435d-b5f6-ec2fb7f743d4.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/9e8c0230-9b1d-4e54-af57-c14b589cf3d6.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/4254cc3e-ff7e-4810-b3dd-b3cacb4aff56.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/6986f012-2acd-403e-b4de-ab25c250de05.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/56efff84-bb6c-4df6-9b56-976d1c714019.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/c8ab66e8-c646-44bf-8c34-d4852b47ee63.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/427a3571-6b34-4fa4-8ecf-4c65e07088ba.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/75020258-15ea-48d2-93c8-ac2ca8cad414.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/a99e14ca-2f19-4fa9-a202-e44c2b67bbba.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/72fd69fc-f235-430c-9e23-84625a99179d.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/cd53a532-2617-4546-aed7-779f3cdf9a0b.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/914a0210-01a9-4220-8923-e9dbb611f138.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/9ed377af-5527-4737-8be6-e5cc5d2d1754.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/d5e42ef6-7571-43cd-8e74-2acb94027845.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/ec74b14d-b467-470f-9d20-c088a9b367f8.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/4a546424-bf90-401c-8a6b-d3d5a6a87d6b.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/c6faff8b-59e1-4fd5-bf95-47fe70d12fd2.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/1a587b89-c65d-48e5-b82a-27d079dd8bd9.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/c4eb615c-a73c-445c-be09-761b30444dec.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/16f49460-11d2-4793-8291-9357d174307c.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/d8a12d15-7c71-475a-822d-8bee51fda24d.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/70963beb-04d3-4f3b-8750-c6acf70e349e.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/f3b45ec5-5546-449b-8f93-f7ce36463f05.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/e6dc5ef2-40da-48e7-a517-63a347c2e53c.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/b913b892-e406-4e0f-84a1-14ee7cfc7796.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/35627758-af97-4ff3-96e8-b49e23b24f7e.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/c2551487-7663-4852-bf1c-83af80ff63ae.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/b7ad6538-74c0-4368-a6c0-4d622b79c699.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/c7358233-0ca6-4eed-952d-785294c22a38.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/9aee680b-fae4-4bd7-abd6-a2c7e3335126.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/b4bc569f-054a-456b-91fb-022ac18976b6.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/19038add-4e78-4b10-a5f5-448a466707c8.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/3d0df910-4a0f-47d9-b66a-e3bea098cbf0.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/d870750d-beca-459a-8f46-e95c53b93bfe.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/f9895bc6-5af7-4e22-80b5-f33b839ebd41.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/07ea707b-e0a7-477a-b9e6-d9d5f6d32ac4.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/6429ef6a-e0d2-40ed-aa5f-adb835066b02.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/e17bee35-b3c5-405b-bd44-e93868c62106.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/01437278-31e6-400a-86c3-23796a9acbf5.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/6e64a293-117d-4018-b23e-8c11ff4e1184.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/24fcef78-cb75-473d-8929-879cf84316c3.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/129e675f-6606-4bdf-9473-f08b6ced721e.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/092d3fd5-9932-4893-a79b-f88a7a3e7d54.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/5da00277-f3c7-4df7-9f12-7fa9ed053b98.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/d47eebd1-90a7-403f-b635-81203a10e427.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/8a44ce21-3096-45d5-80de-d15812c18e01.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/cab095be-87c6-4750-99f6-d1772789e62b.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/ed2f83f3-de30-4c8f-88b6-9b05bd95dcbc.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/d2fb7e41-26db-4f84-8c81-03ee35ada7fb.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/b8a90fff-a044-4d38-81f6-d67a38fb0cca.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/19f99401-c742-4d66-b03b-e4e9189c15a8.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/4daf124a-7efb-4766-bbf2-2ac534090ec0.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/08a4e45e-4a60-4a5e-b7d9-17ff031ac948.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/2d697fb1-9662-4486-addb-716e666e2c8e.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/a4bebf9a-ea1c-4caa-aa48-02cba49e43d2.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/a1180d80-9316-47d4-89fa-3ef9fcd92657.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/2d11931b-3b13-44a0-a4e4-aeeaecfdfaaa.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/9cb3a858-5182-450c-8dd5-d185531ffd08.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/f2a07e80-9322-46a8-baf7-d84bc4d89483.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/8b3c862e-b79e-4e37-99df-ad1dc9eceb06.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/7f5ff66b-c54e-4960-8c52-6e050576c646.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/bd54ea3c-0b0c-43c7-aaf0-1017132b7f11.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/a65f9c17-5939-4358-accb-d2e3b2802eb9.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/62e7032a-5ca9-4f30-982d-7da8090300d6.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/ff7a7fd0-f978-4f5c-a204-449992a2f261.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/2c13d929-b13d-4e19-87c5-a0a87c6d1d8d.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/bcf3b350-7f65-4457-a20b-8ca59b445d5a.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/2337d231-5ed6-4e2e-9226-19a851b2643a.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/7e8962c7-31de-4993-888e-0d2e8a1710ba.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/f7d26096-c749-42a3-aa19-d73e03d74520.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/cbceb223-eaac-4192-b51a-8b5c3ec5a565.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/7ccd7395-458a-4715-82dd-3b8af4e45a9e.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/2a0b7493-5028-4b54-b844-197f931fea9c.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/bad58e49-99aa-497b-8e24-8d31907f9023.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/7b218800-708a-4463-acaa-9c2e10dd7459.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/d67ddb00-19dc-484d-8633-e3c775c37200.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/0d5c6546-eeb1-4fcf-a1eb-9150d3651254.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/59d527ff-daa3-4735-acbd-b58c00fe1d4e.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/7c66f56d-258d-49f7-af88-6408995bc0bf.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/6769752b-c04c-4acc-a117-2881e17af705.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/2b95f875-90fc-41e5-aec9-06f9d777d13e.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/9762c4ee-8ba6-4d2a-985e-199b8856567f.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/58f1f798-3c2f-4cb9-9fc4-0285d5e9c18e.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/a81d4493-09af-4d8f-abb7-a9cc8739a7c5.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/53e06371-dd0c-46a4-bb89-25465eb2446a.jpg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
